"Article","Amniotes","animal","Type","Parameters","Statistics","Estimate","df","df.1","SE","Correlation","Direction","Adjusted","Formula","N","Maternal","Offspring","Propagule","Reproduction..0...itero..1...semel.","Environment","Comments","Author","Date","Species","Data.Extraction","Phylum","Class","Order","Family","Genus","X","r","Zr"
73,"Y","Alectoris_rufa","r",NA,0.54,NA,NA,NA,NA,"","+","N",NA,23,"Fecundity","Mass","Egg","0","Captive","","Cabezas-Diaz, S., Virgos, E. & Villafuerte, R.","2005","Alectoris_rufa",2,"Chordata","Aves","Galliformes","Phasianidae","Alectoris",NA,0.54,0.604155602962267
126,"N","Alytes_obstetricans","r",NA,-0.04,NA,NA,NA,NA,"","-","N",NA,67,"Fecundity","Length","Offspring","0","Wild","","Marquez, R.","1996","Alytes_obstetricans",2,"Chordata","Amphibia","Anura","Discoglossidae","Alytes",NA,-0.04,-0.0400213538367682
5,"Y","Anas_platyrhynchos","r2",2,0.191,NA,NA,NA,NA,"0.395","+","N",NA,49,"Fecundity","Mass","Egg","0","Captive","","Bluhm, C.K. & Gowaty, P.A.","2004","Anas_platyrhynchos",1,"Chordata","Aves","Anseriformes","Anatidae","Anas",NA,0.394748131036135,0.417412221495842
17,"Y","Anguis_fragilis","r2",2,0.813,NA,NA,NA,NA,"0.898","+","N",NA,68,"Fecundity","Length","Offspring","0","Captive","","Ferreiro, R. & Galàn, P.","2004","Anguis_fragilis",1,"Chordata","Reptilia","Squamata","Anguidae","Anguis",NA,0.898468782900193,1.46421831383677
101,"Y","Apalone_ferox","r",NA,-0.015,NA,NA,NA,NA,"","-","N",NA,41,"Fecundity","Length","Egg","0","Wild","Only length was significant and thus only r of length was given in paper","Iverson, J. B. & Moler, P. E.","1997","Apalone_ferox",2,"Chordata","Reptilia","Testudines","Trionychidae","Apalone",NA,-0.015,-0.0150011251518994
105,"Y","Apalone_mutica","r",NA,0.365,NA,NA,NA,NA,"","+","N",NA,6,"Fecundity","Mass","Egg","0","Wild","","Janzen, F. J.","1993","Apalone_mutica",2,"Chordata","Reptilia","Testudines","Trionychidae","Apalone",NA,0.365,0.382642354363184
105,"Y","Apalone_mutica","r",NA,-0.141,NA,NA,NA,NA,"","-","N",NA,14,"Fecundity","Mass","Egg","0","Wild","","Janzen, F. J.","1993","Apalone_mutica",2,"Chordata","Reptilia","Testudines","Trionychidae","Apalone",NA,-0.141,-0.14194571393891
127,"Y","Aphrastura_spinicauda","F",NA,2.48,NA,1,12,NA,"","+","N",NA,30,"Fecundity","Volume","Egg","0","Wild","","Moreno, J., Merino, S., Vasquez, R. and Armesto, J.","2005","Aphrastura_spinicauda",2,"Chordata","Aves","Passeriformes","Furnariidae","Aphrastura",NA,0.413848665857514,0.440246404771065
67,"N","Araschnia_levana","r",NA,0.37,NA,NA,NA,NA,"","+","N",NA,142,"Fecundity","Mass","Egg","0","Captive","","Bauerfeind, S. S. & Fischer, K.","2008","Araschnia_levana",2,"Arthropoda","Insecta","Lepidoptera","Nymphalidae","Araschnia",NA,0.37,0.388423099718296
20,"N","Austropotamobius_italicus","r",NA,-0.17,NA,NA,NA,NA,"-0.17","+","N",NA,68,"Fecundity","Mass","Egg","0","Wild","","Galeotti, P., Rubolini, D., Fea, G., Ghia, D., Nardi, P.A., Gherardi, F. & Fasola, M.","2006","Austropotamobius_italicus",1,"Arthropoda","Malacostraca","Decapoda","Astacidae","Austropotamobius",NA,-0.17,-0.171666663500579
97,"Y","Aythya_ferina","r2",2,1e-04,NA,NA,NA,NA,"","+","N",NA,25,"Fecundity","Mass","Egg","0","Wild","","Horak, D., Klvana, P. & Albrecht, T.","2008","Aythya_ferina",2,"Chordata","Aves","Anseriformes","Anatidae","Aythya",NA,0.01,0.0100003333533347
66,"N","Bicyclus_anynana","r",NA,-0.27,NA,NA,NA,NA,"","-","N",NA,86,"Fecundity","Mass","Egg","0","Captive","","Bauerfeind, S. S. & Fischer, K.","2007","Bicyclus_anynana",2,"Arthropoda","Insecta","Lepidoptera","Nymphalidae","Bicyclus",NA,-0.27,-0.2768638226551
175,"Y","Branta_canadensis","r",NA,-0.056,NA,NA,NA,NA,"","-","N",NA,82,"Fecundity","Mass","Egg","0","Wild","","Rohwer, F. C. & Eisenhaur, D. I.","1989","Branta_canadensis",2,"Chordata","Aves","Anseriformes","Anatidae","Branta",NA,-0.056,-0.0560586490603531
175,"Y","Branta_bernicla","r",NA,-0.028,NA,NA,NA,NA,"","-","N",NA,25,"Fecundity","Mass","Egg","0","Wild","1971","Rohwer, F. C. & Eisenhaur, D. I.","1989","Branta_bernicla",2,"Chordata","Aves","Anseriformes","Anatidae","Branta",NA,-0.028,-0.0280073207773357
175,"Y","Branta_bernicla","r",NA,0.314,NA,NA,NA,NA,"","+","N",NA,57,"Fecundity","Mass","Egg","0","Wild","1972-1973","Rohwer, F. C. & Eisenhaur, D. I.","1989","Branta_bernicla",2,"Chordata","Aves","Anseriformes","Anatidae","Branta",NA,0.314,0.324976785659335
138,"Y","Bubulcus_ibis","r",NA,0.24,NA,NA,NA,NA,"","+","N",NA,61,"Fecundity","Volume","Egg","0","Wild","","Samraoui, F., Menai, R. & Samraoui, B.","2007","Bubulcus_ibis",2,"Chordata","Aves","Ciconiiformes","Ardeidae","Bubulcus",NA,0.24,0.244774112659353
125,"Y","Bucephala_clangula","r",NA,-0.19,NA,NA,NA,NA,"","-","N",NA,31,"Fecundity","Mass","Egg","0","Wild","","Mallory, M., McNicol, D. & Weatherhead, P.","1994","Bucephala_clangula",2,"Chordata","Aves","Anseriformes","Anatidae","Bucephala",NA,-0.19,-0.192337169219545
148,"Y","Caiman_crocodilus","r",NA,0.28,NA,NA,NA,NA,"","+","N",NA,152,"Fecundity","Mass","Egg","0","Wild","","Thorbjarnarson, J. B.","1994","Caiman_crocodilus",2,"Chordata","Reptilia","Crocodilia","Alligatoridae","Caiman",NA,0.28,0.287682072451781
42,"Y","Calotes_versicolor","r",NA,-0.57,NA,NA,NA,NA,"-0.57","+","N",NA,25,"Fecundity","Mass","Egg","0","Wild","","Radder, R.S. & Shanbhag, B.A.","2004","Calotes_versicolor",1,"Chordata","Reptilia","Squamata","Agamidae","Calotes",NA,-0.57,-0.647522844827373
107,"Y","Calotes_versicolor","r",NA,-0.12,NA,NA,NA,NA,"","-","N",NA,20,"Fecundity","Mass","Egg","0","Captive","","Ji, X., Qiu, Q. B. & Diong, C. H.","2002","Calotes_versicolor",2,"Chordata","Reptilia","Squamata","Agamidae","Calotes",NA,-0.12,-0.120581028408444
141,"Y","Calotes_versicolor","r2",2,0.07,NA,NA,NA,NA,"","-","N",NA,131,"Fecundity","Volume","Egg","0","Wild","","Shanbhag, B. A.,Radder, R. S. & Saidapur, S. K.","2000","Calotes_versicolor",2,"Chordata","Reptilia","Squamata","Agamidae","Calotes",NA,-0.23551804601771,-0.240023605735921
46,"Y","Canis_lupus","r2",2,0.102,NA,NA,NA,NA,"#NUM!","-","N",NA,12,"Fecundity","Mass","Offspring","0","Captive","","Scantlebury, M., Butterwick, R. & Speakman, J.R.","2001","Canis_lupus",1,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,-0.319374388453426,-0.330950281447984
46,"Y","Canis_lupus","r2",2,0.175,NA,NA,NA,NA,"#NUM!","-","N",NA,7,"Fecundity","Mass","Offspring","0","Captive","","Scantlebury, M., Butterwick, R. & Speakman, J.R.","2001","Canis_lupus",1,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,-0.418330013267038,-0.445666078855916
85,"Y","Carettochelys_insculpta","r",NA,-0.32,NA,NA,NA,NA,"","-","N",NA,44,"Fecundity","Mass","Egg","0","Wild","","Doody, J. S., Georges, A. & Young, J. E.","2003","Carettochelys_insculpta",2,"Chordata","Reptilia","Testudines","Carettochelyidae","Carettochelys",NA,-0.32,-0.331647108705132
85,"Y","Carettochelys_insculpta","r",NA,-0.254,NA,NA,NA,NA,"","-","N",NA,44,"Fecundity","Mass","Egg","0","Wild","","Doody, J. S., Georges, A. & Young, J. E.","2003","Carettochelys_insculpta",2,"Chordata","Reptilia","Testudines","Carettochelyidae","Carettochelys",NA,-0.254,-0.259684060494553
85,"Y","Carettochelys_insculpta","r",NA,0.098,NA,NA,NA,NA,"","+","N",NA,69,"Fecundity","Mass","Egg","0","Wild","","Doody, J. S., Georges, A. & Young, J. E.","2003","Carettochelys_insculpta",2,"Chordata","Reptilia","Testudines","Carettochelyidae","Carettochelys",NA,0.098,0.0983155510034261
32,"Y","Cavia_aperea","r",NA,-0.53,NA,NA,NA,NA,"-0.53","+","N",NA,249,"Fecundity","Mass","Offspring","0","Captive","","Kasparian, K., Gei_ler, E. & Trillmich, F.","2005","Cavia_aperea",1,"Chordata","Mammalia","Rodentia","Caviidae","Cavia",NA,-0.53,-0.590145159841189
40,"Y","Cavia_aperea","r",NA,-0.78,NA,NA,NA,NA,"-0.78","+","N",NA,22,"Fecundity","Mass","Offspring","0","Captive","","Michel, C.L. & Bonnet, X.","2012","Cavia_aperea",1,"Chordata","Mammalia","Rodentia","Caviidae","Cavia",NA,-0.78,-1.04537054846688
88,"N","Centruroides_vittatus","r",NA,0.156,NA,NA,NA,NA,"","+","N",NA,34,"Fecundity","Mass","Offspring","0","Captive","","Formanowicz, D. R. & Shaffer, L. R.","1993","Centruroides_vittatus",2,"Arthropoda","Arachnida","Scorpiones","Buthidae","Centruroides",NA,0.156,0.157284277318183
