"Article","Datapoint","Amniotes","animal","Species","Common.Name","Parameters","Statistics","Estimate","df","df.1","SE","Type","Direction","Formula","Process","N","Maternal","Offspring","Fecundity","Reproduction","Propagule","Environment","Comments","Author","year","Data.Extraction","Phylum","Class","Order","Family","Genus","X","r","Zr","RU"
1,1,"Y","Sceloporus_virgatus","Sceloporus_virgatus","Spiny lizard",NA,0.8,NA,NA,NA,NA,"r","+","r",0,21,"Size","Number","Clutch","it","Offspring","Wild","1993","Abell, A.J.","1999",1,"Chordata","Reptilia","Squamata","Phrynosomatidae","Sceloporus",NA,0.8,1.09861228866811,"Single"
1,2,"Y","Sceloporus_virgatus","Sceloporus_virgatus","Spiny lizard",NA,0.74,NA,NA,NA,NA,"r","+","r",0,14,"Size","Number","Clutch","it","Offspring","Wild","1994","Abell, A.J.","1999",1,"Chordata","Reptilia","Squamata","Phrynosomatidae","Sceloporus",NA,0.74,0.950479380596523,"Single"
2,25,"N","Elysia_stylifera","Elysia_stylifera","Sea slug",2,0.488,NA,NA,NA,NA,"r2","+","13",1,24,"Size","Number","Clutch","it","Egg","Wild","","Allen, R.M., Krug, P.J. & Marshall, D.J.","2009",1,"Mollusca","Gastropoda","Heterobranchia","Plakobranchidae","Elysia",NA,0.662750401914699,0.79770253776767,"Single"
4,28,"N","Heteroclinus_perspicillatus","Heteroclinus_perspicillatus","Common weedfish",NA,0.918,NA,NA,NA,NA,"r","+","r",0,19,"Size","Number","Clutch","it","Egg","Wild","","Gunn, J.S. & Thresher, R.E.","1991",1,"Chordata","Actinopterygii","Perciformes","Clinidae","Heteroclinus",NA,0.918,1.57615950408957,"Single"
4,29,"N","Heteroclinus_puellarum","Heteroclinus_puellarum","Little weedfish",NA,0.746,NA,NA,NA,NA,"r","+","r",0,27,"Size","Number","Clutch","it","Egg","Wild","","Gunn, J.S. & Thresher, R.E.","1991",1,"Chordata","Actinopterygii","Perciformes","Clinidae","Heteroclinus",NA,0.746,0.963874234690505,"Single"
8,38,"N","Parallorhogas_pyralophagus","Parallorhogas_pyralophagus","Ecotoparasitoid",2,0.79,NA,NA,NA,NA,"r2","+","13",1,38,"Size","Number","Clutch","it","Egg","Captive","Newly emerged females","Bernal, J.S., Gillogly, P.O. & Griset, J.","2001",1,"Arthropoda","Insecta","Hymenoptera","Braconidae","Parallorhogas",NA,0.882043082847998,1.38489688151136,"Single"
9,43,"Y","Pantherophis_obsoletus","Pantherophis_obsoletus","Black ratsnakes",2,0.106,NA,NA,NA,NA,"r2","+","13",1,52,"Size","Number","Clutch","it","Egg","Wild","","Blouin-Demers, G. & Weatherhead, P.J.","2007",1,"Chordata","Reptilia","Squamata","Colubridae","Pantherophis",NA,0.263647878962894,0.270024764742549,"Single"
13,51,"Y","Vipera_aspis","Vipera_aspis","Aspic vipers",NA,0.17,NA,NA,NA,NA,"r","+","r",0,146,"Size","Number","Clutch","it","Offspring","Wild","","Bonnet, X., Naulleau, G., Shine, R. & Lourdais, O.","2001",1,"Chordata","Reptilia","Squamata","Viperidae","Vipera",NA,0.17,0.171666663500579,"Single"
14,53,"Y","Vipera_aspis","Vipera_aspis","Aspic vipers",NA,0.55,NA,NA,NA,NA,"r","+","r",0,57,"Size","Number","Clutch","it","Offspring","Wild","1981","Bonnet, X., Shine, R., Lourdais, O. & Naulleau, G.","2003",1,"Chordata","Reptilia","Squamata","Viperidae","Vipera",NA,0.55,0.618381313574464,"Single"
14,54,"Y","Vipera_aspis","Vipera_aspis","Aspic vipers",NA,0.21,NA,NA,NA,NA,"r","+","r",0,173,"Size","Number","Clutch","it","Offspring","Wild","2003","Bonnet, X., Shine, R., Lourdais, O. & Naulleau, G.","2003",1,"Chordata","Reptilia","Squamata","Viperidae","Vipera",NA,0.21,0.21317134656486,"Single"
15,404,"N","Cyclorana_alboguttata","Cyclorana_alboguttata","Striped burrowing frog",NA,-0.029,NA,NA,NA,NA,"r","-","r",0,21,"Weight","Number","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,-0.029,-0.0290081337713623,"Single"
15,405,"N","Cyclorana_brevipes","Cyclorana_brevipes","Short-footed frog",NA,0.771,NA,NA,NA,NA,"r","+","r",0,8,"Weight","Number","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.771,1.0227888171143,"Single"
15,406,"N","Cyclorana_novaehollandiae","Cyclorana_novaehollandiae","New Holland frog",NA,-0.452,NA,NA,NA,NA,"r","-","r",0,8,"Weight","Number","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,-0.452,-0.487210954218363,"Single"
15,403,"N","Limnodynastes_ornatus","Limnodynastes_ornatus","Ornate burrowing frog",NA,0.163,NA,NA,NA,NA,"r","+","r",0,24,"Weight","Number","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Myobatrachidae","Limnodynastes",NA,0.163,0.164467041014595,"Single"
15,407,"N","Litoria_caerulea","Litoria_caerulea","Australian green tree frog",NA,0.636,NA,NA,NA,NA,"r","+","r",0,15,"Weight","Number","Clutch","it","Egg","Wild","","Dziminski, M.A. & Alford, R.A.","2005",1,"Chordata","Amphibia","Anura","Hylidae","Litoria",NA,0.636,0.751427824762976,"Single"
