,species,animal,reference,unit,Trait,trait_details,male_mean,male_SD,male_n,female_mean,female_SD,female_n
1,Ursus_arctos_horribilis,Ursus_arctos,Badyaev 1998,NA,length,skull length,32.64,2.55,19,28.71,2.16,12
5,Lophostoma_silvicolum,Platalina_genovensium,Dechmann et al. 2005,NA,mass,body mass,31.9,4.314904402,136,29.8,3.171781834,138
6,Lophostoma_silvicolum,Platalina_genovensium,Dechmann et al. 2005,NA,length,forearm,52.7,1.254192968,130,52.1,1.409680815,138
7,Lophostoma_silvicolum,Platalina_genovensium,Dechmann et al. 2005,NA,length,tibia,28.5,1.112429773,55,27.9,0.806225775,65
11,Rupicapra_rupicapra,Rupicapra_rupicapra,Bassano et al. 2003,NA,mass,body weight,26.4,3.9,45,19.6,2.9,19
12,Rupicapra_rupicapra,Rupicapra_rupicapra,Bassano et al. 2003,NA,mass,body weight,27.3,4.6,48,19.9,3.7,11
13,Rupicapra_rupicapra,Rupicapra_rupicapra,Bassano et al. 2003,NA,mass,body weight,27.6,4.7,32,21,2.5,12
14,Rupicapra_rupicapra,Rupicapra_rupicapra,Bassano et al. 2003,NA,mass,body weight,27.5,3.6,10,19.9,4,11
18,Martes_martes_minoricensis,Martes_martes,Lãpez-Martên et al. 2006,NA,length,total length,90.9,1.6,21,82.8,1.4,17
93,Nycticebus_coucang,Nycticebus_coucang,Kappeler 1990,NA,mass,body weight,1207,201.3011674,14,1194.7,235.4773874,15
94,Otolemur_crassicaudatus,Otolemur_crassicaudatus,Kappeler 1990,NA,mass,body weight,1495.4,250.4523907,40,1241.5,226.8571357,44
95,Otolemur_garnettii,Otolemur_garnettii,Kappeler 1990,NA,mass,body weight,1212.2,197.90907,17,1027.5,122.4850603,19
96,Galago_moholi,Galago_moholi,Kappeler 1990,NA,mass,body weight,180.6,22,25,155.1,17.44133022,20
97,Cheirogaleus_medius,Cheirogaleus_medius,Kappeler 1990,NA,mass,body weight,283.3,35.96873642,23,282.2,38.5,25
98,Microcebus_murinus,Microcebus_murinus,Kappeler 1990,NA,mass,body weight,90.2,16.08477541,33,109,19.74537921,27
99,Lemur_catta,Lemur_catta,Kappeler 1990,NA,mass,body weight,2704.6,341.4588701,24,2678.2,285.2,16
100,Lemur_fulvus,Eulemur_fulvus,Kappeler 1990,NA,mass,body weight,2406.2,282.3638079,57,2412,311.9314829,45
101,Lemur_macaco,Eulemur_macaco,Kappeler 1990,NA,mass,body weight,2396.9,298.3104423,22,2532.6,234.6047101,17
102,Lemur_mongoz,Eulemur_mongoz,Kappeler 1990,NA,mass,body weight,1681.7,272.018492,14,1658.2,233.6397227,13
103,Varecia_variegata,Varecia_variegata,Kappeler 1990,NA,mass,body weight,3471.3,326.2300722,46,3511.8,346.0906673,35
104,Tarsius_syrichta,Tarsius_syrichta,Kappeler 1990,NA,mass,body weight,134.3,10.75174404,10,116.7,7.833900689,17
108,Microtus_pennsylvanicus,Microtus_pennsylvanicus,Boonstra et al. 1993,NA,mass,body mass,47.9,6.09,105,39.9,4.91,86
110,Microtus_p._alcorni,Microtus_pennsylvanicus,Boonstra et al. 1993,NA,length,Body length,109.9,6.6,43,106.9,7.7,40
