"article" "author" "year" "species" "amniotes" "environment" "ri" "ni"
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" 0.1 21
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" -0.17 14
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" -0.07 21
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" -0.14 14
2 "Allaine, D., Graziani, L. & Coulon, J." "1998" "Marmota_marmota" "yes" "wild" -0.54 74
3 "Baron, J.P., Tully, T. & Le Galliard, J.F." "2010" "Vipera_ursinii" "yes" "wild" 0.487 105
4 "Blouin-Demers, G. & Weatherhead, P.J." "2007" "Pantherophis_obsoletus" "yes" "wild" -0.29 104
5 "Bluhm, C.K. & Gowaty, P.A." "2004" "Anas_platyrhynchos" "yes" "captive" 0.395 49
6 "Brown, G.P. & Shine, R." "2005" "Tropidonophis_mairii" "yes" "wild" -0.13 318
10 "Dobson, F.S. & Michener, G.R." "1995" "Urocitellus_richardsonii" "yes" "wild" -0.67 51
10 "Dobson, F.S. & Michener, G.R." "1995" "Urocitellus_richardsonii" "yes" "wild" -0.4 38
11 "Dobson, F.S., Risch, T.S. & Murie, J.O." "1999" "Urocitellus_richardsonii" "yes" "wild" -0.53 134
11 "Dobson, F.S., Risch, T.S. & Murie, J.O." "1999" "Urocitellus_richardsonii" "yes" "wild" -0.5 43
15 "Ebert, D." "1993" "Daphnia_magna" "no" "captive" 0.03 215
16 "Edwards, T.M., Miller, H.D. & Guillette Jr., L.J." "2006" "Gambusia_holbrooki" "no" "wild" -0.32 240
17 "Ferreiro, R. & Galan, P." "2004" "Anguis_fragilis" "yes" "captive" 0.898 68
20 "Galeotti, P., Rubolini, D., Fea, G., Ghia, D., Nardi, P.A., Gherardi, F. & Fasola, M." "2006" "Austropotamobius_italicus" "no" "wild" -0.17 68
21 "Genoud, M. & Perrin, N." "1994" "Crocidura_russula" "yes" "captive" -0.64 62
22 "Gignac, A. & Gregory, P.T." "2005" "Thamnophis_ordinoides" "yes" "captive" -0.22 24
23 "Glazier, D.S." "1992" "Daphnia_magna" "no" "captive" 0.752 43
23 "Glazier, D.S." "1992" "Daphnia_magna" "no" "captive" 0.168 43
27 "Hassal, M., Walters, R.J., Telfer, M. & Hassall, M.R.J." "2006" "Chorthippus_brunneus" "no" "wild" -0.406 27
27 "Hassal, M., Walters, R.J., Telfer, M. & Hassall, M.R.J." "2006" "Chorthippus_brunneus" "no" "captive" -0.433 131
