"article" "author" "year" "species" "amniotes" "environment" "reprounit" "ri" "ni"
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" "single" 0.38 21
1 "Abell, A.J." "1999" "Sceloporus_virgatus" "yes" "wild" "single" 0.21 14
2 "Allen, R.M., Krug, P.J. & Marshall, D.J." "2009" "Elysia_stylifera" "no" "wild" "single" 0.593 21
3 "Fox, C.W." "1993" "Callosobruchus_maculatus" "no" "captive" "single" 0.274 115
5 "Arnboom, T., Fedak, M.A. & Rothery, P." "1994" "Mirounga_leonina" "yes" "wild" "single" 0.529 71
5 "Arnboom, T., Fedak, M.A. & Rothery, P." "1994" "Mirounga_leonina" "yes" "wild" "single" 0.595 80
6 "Benton, T.G., St Clair, J.J.H & Palistow, S.J." "2008" "Sancassania_berlesei" "no" "captive" "single" 0.384 117
7 "Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A." "2001" "Salmo_salar" "no" "wild" "single" 0.813 6
7 "Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A." "2001" "Salmo_salar" "no" "wild" "single" 0.759 6
7 "Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A." "2001" "Salmo_salar" "no" "wild" "single" 0.823 6
7 "Berg, O.K., Hendry, A.P., Svendsen, D., Bech, C., Arnekleiv, J.V. & Lohrmann, A." "2001" "Salmo_salar" "no" "wild" "single" 0.8 6
9 "Blouin-Demers, G. & Weatherhead, P.J." "2007" "Pantherophis_obsoletus" "yes" "wild" "single" 0.055 51
10 "Boersma, M." "1995" "Daphnia_galeata" "no" "captive" "single" 0.44 484
11 "Boltnev , A.I. & York, A.E." "2001" "Callorhinus_ursinus" "yes" "wild" "single" 0.178 252
12 "Bonenfant, C., Gaillard, J.M., Loison, A. & Klein, F." "2003" "Cervus_elaphus" "yes" "wild" "single" 0.92 111
13 "Bonnet, X., Naulleau, G., Shine, R. & Lourdais, O." "2001" "Vipera_aspis" "yes" "wild" "single" 0.22 132
15 "Dziminski, M.A. & Alford, R.A." "2005" "Limnodynastes_ornatus" "no" "wild" "single" 0.021 24
15 "Dziminski, M.A. & Alford, R.A." "2005" "Cyclorana_alboguttata" "no" "wild" "single" 0.057 21
15 "Dziminski, M.A. & Alford, R.A." "2005" "Cyclorana_brevipes" "no" "wild" "single" 0.314 8
15 "Dziminski, M.A. & Alford, R.A." "2005" "Cyclorana_novaehollandiae" "no" "wild" "single" -0.357 8
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_caerulea" "no" "wild" "single" 0.556 15
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_fallax" "no" "wild" "single" 0.32 28
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_gracilenta" "no" "wild" "single" 0.15 9
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_nasuta" "no" "wild" "single" 0.2 10
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_rothii" "no" "wild" "single" 0.139 11
15 "Dziminski, M.A. & Alford, R.A." "2005" "Litoria_rubella" "no" "wild" "single" -0.107 8
16 "Ford, N.B. & Seigel, R.A." "1989" "Pantherophis_guttatus" "yes" "captive" "single" 0.283 21
16 "Ford, N.B. & Seigel, R.A." "1989" "Trimeresurus_flavoviridis" "yes" "captive" "single" 0.332 15
16 "Ford, N.B. & Seigel, R.A." "1989" "Ovophis_okinavensis" "yes" "captive" "single" 0.346 23
17 "Barbosa, M. & Magurran, A.E." "2010" "Poecilia_reticulata" "no" "captive" "single" 0.126 140
18 "Blanchard, P., Hanuise, N., Dana, S. & Weimerskirch, H." "2007" "Diomedea_exulans" "yes" "wild" "single" 0.586 24
18 "Blanchard, P., Hanuise, N., Dana, S. & Weimerskirch, H." "2007" "Diomedea_exulans" "yes" "wild" "single" 0.511 24
19 "Bluhm, C.K. & Gowaty, P.A." "2004" "Anas_platyrhynchos" "yes" "wild" "single" 0.032 49
20 "Braccini, J.M., Hamlett, W.C., Gillanders, B.M. & Walker, T.I." "2007" "Squalus_megalops" "no" "wild" "single" 0.793 72
21 "Campbell, M.T. & Slade, N.A." "1995" "Sigmodon_hispidus" "yes" "wild" "single" 0.413 29
23 "Hodge, S.J., Bell, M.B., Mwanguhya, F., Kyabulima, S., Waldick, R.C. & Russell, A.F." "2009" "Mungos_mungo" "yes" "wild" "single" 0.512 39
24 "Fox, C.W." "1994" "Callosobruchus_maculatus" "no" "captive" "single" 0.208 195
25 "Crespi, E.J. & Lessig, H." "2004" "Plethodon_cinereus" "no" "wild" "single" 0.07 10
26 "Bowman, J.E. & Lee, P.C." "1995" "Macaca_mulatta" "yes" "wild" "single" 0.507 31
26 "Bowman, J.E. & Lee, P.C." "1995" "Macaca_mulatta" "yes" "wild" "single" 0.52 31
30 "Fox, C.W., Thakar, M.S. & Mousseau, T.A." "1997" "Stator_limbatus" "no" "captive" "single" 0.293 69
30 "Fox, C.W., Thakar, M.S. & Mousseau, T.A." "1997" "Stator_limbatus" "no" "captive" "single" 0.132 55
31 "Johnston, T.A. & Leggett, W.C." "2002" "Sander_vitreus" "no" "wild" "single" 0.28 1100
32 "Du, W.G., Ji, X., Zhang, Y.P., Lin, Z.H. & Xu, X.F." "2010" "Takydromus_septentrionalis" "yes" "wild" "single" 0.488 276
34 "Dziminski, M.A. & Roberts, J.D." "2009" "Crinia_georgiana" "no" "wild" "single" 0.15 33
36 "Ferreiro, R. & Galin, P." "2004" "Anguis_fragilis" "yes" "captive" "single" 0.501 68
39 "Gignac, A. & Gregory, P.T." "2005" "Thamnophis_ordinoides" "yes" "wild" "single" 0.283 22
42 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" "single" 0.464 50
42 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" "single" 0.326 50
42 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" "single" 0.235 50
42 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" "single" 0.332 50
42 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" "single" 0.331 50
42 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" "single" -0.09 50
42 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" "single" -0.13 50
42 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" "single" 0.263 50
42 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" "single" 0.111 50
42 "Glazier, D.S." "2000" "Gammarus_minus" "no" "captive" "single" 0.182 50
43 "Baron, J.P., Tully, T. & Le Galliard, J.F." "2010" "Vipera_ursinii" "yes" "wild" "single" 0.432 22
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.199 41
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" -0.107 45
44 "Glazier, D.S." "2000" "Gammarus_minus" "no" "wild" "single" 0.345 40
