ID,Author,Year,Paper title,Country,Nwomen,Nmen,meanWomen,sdWoman,ageMeanWoman,ageSDWoman,meanMen,sdMen,ageMeanMen,ageSDMen
2,Nováková et al. (2013),2013,Olfactory Performance Is Predicted by Individual Sex-Atypicality. but Not Sexual Orientation,Czech Republic,67,89,13.99,1.24,23.96,3.96,13.55,1.52,24.44,4.3
3,Mehmet K. Mahmut,,Olfactory Abilities and Psychopathy: Higher Psychopathy Scores Are Associated with Poorer Odor Discrimination and Identification,Australia,40,39,12.03,1.73,19.3,5.145,11.13,1.61,21.44,8.86
4,Schaub et al.,,A time-saving method for recording chemosensory event-related potentials.,Germany,13,7,14.31,0.95,,,14.5,0.84,,
6,Ribeiro JC. Simões J. Silva F. Silva ED. Hummel C. Hummel T. Paiva A,,Cultural Adaptation of the Portuguese Version of the “Sniffin’ Sticks” Smell Test: Reliability. Validity. and Normative Data.,Portugal,104,99,14,1.42,36.78,14.31,13.51,1.82,41.43,15.54
9,Riva et al.,,Late Sensorial Alterations in Different Radiotherapy Techniques for Nasopharyngeal Cancer,Italy,10,20,12.6,2.17,52.7,9.91,12.35,1.95,53.95,11.63
10,Rosenboom et al.. 2015,2015,“Facial characteristics and olfactory dysfunction: two endophenotypes related to non-syndromic cleft lip and/or palate’,Belgium,15,8,10.8,0.75,38,13.55,10.75,1.19,35.88,9.62
11,Guarneros et al. 2009,2009,Mexico City air pollution adversely affects olfactory function and intranasal trigeminal sensitivity,Mexico City. Mexico,15,15,12.66,1.76,23.73,3.69,12.8,1.66,,
11,Guarneros et al. 2009,2009,Mexico City air pollution adversely affects olfactory function and intranasal trigeminal sensitivity,Tlaxcala. Mexico,15,15,13.06,0.88,24.73,4.32,12.2,1.78,,
12,Guarneros et al. 2013,2013,Nonoccupational environmental exposure to manganese is linked to deficits in peripheral and central olfactory function,Hidalgo. Mexico,25,5,11.56,1.08,42.2,10.99,10,1.58,,
13,Guarneros et al. 2015,2015,Reference values of olfactory function for Mexico City inhabitants,Mexico City. Mexico,431,218,11.12,1.53,22.3,4.9,11.05,1.4,,
15,Guarneros et al. 2015,2015,Reference values of olfactory function for Mexico City inhabitants,Mexico City. Mexico,143,68,11.35,1.41,45,5.7,11.19,1.44,,
18,Guarneros et al. 2015,2015,Reference values of olfactory function for Mexico City inhabitants,Mexico City. Mexico,41,15,10.85,1.74,62.95,6.69,10.13,1.64,,
20,Gagnon et al.. 2014,2014,Neural correlates of taste perception in congenital olfactory impairment.,Denmark (+Faroe Islands),15,13,7.33,3.56,41.87,17.8,7.69,3.86,49.38,14.36
21,Konstantinidis et al.. 2008,2008,cultural adaptation of an olfactory identification test: the Greek version of sniffin' sticks,Greece,90,108,13.27,1.8,38.63,,13.33,1.6,36.38,
23,Miyamoto T et al.,,Olfactory dysfunction in idiopathic REM sleep behavior disorder. (Sleep Med 2010),Japan,11,17,10.3,1.2,63.0,3.5,11.2,1.9,61.5,3.6
25,Pacharra et al.,,Stress lowers the detection threshold for foulsmelling 2-mercaptoethanol.,Germany,16,16,13.38,1.09,22.25,2.84,13.13,1.31,25.00,3.33
26,Naka et al.. 2014,2014,A Novel Device for the Clinical Assessment of Intranasal Trigeminal Sensitivity,Austria,26,23,14.2,1.2,29.8,15,13.9,1.1,32.70,15.7
27,Mueller et al. 2006,2006,A self-administered odor identification test procedure using the “sniffin'sticks”,Austria,62,13,13.7,1.3,19.7,2.1,13.7,1.2,23.00,3.3
29,Lutterotti et al.,,Olfactory threshold is impaired in early. active multiple sclerosis,Austria,19,11,14.3,1.7,34.9,10.6,14.1,2.4,35.10,10.9
31,Allen. Havlicek. & Roberts. 2015,2015,Effect of fragrance use on discrimination of individual ody odour,UK,289,123,9.94,1.52,40.34812287,14.12305163,9.41,1.97,40.86,15.34
32,Croy et al,,Patient Adjustment to Reduced Olfactory Function,Germany,286,171,9.02,4.38,39.15,18.6,8.15,4.27,42.69,18.66
